"id","date","fear_greed_index","fear_greed_rating","vix","created_at","qqq_close","smh_close","spx_close","dji_close"
"22166","8/11/2021 00:00:00","74.5333",,"17.22","12/4/2026 22:56:10","387.17","146.48","4701.7","36432.22"
"22167","9/11/2021 00:00:00","77.1714",,"17.78","12/4/2026 22:56:10","384.5","146.68","4685.25","36319.98"
"22168","10/11/2021 00:00:00","73.0857",,"18.73","12/4/2026 22:56:10","378.85","142.05","4646.71","36079.94"
"22169","11/11/2021 00:00:00","72.2286",,"17.66","12/4/2026 22:56:10","379.9","144.6","4649.27","35921.23"
"22170","12/11/2021 00:00:00","74",,"16.29","12/4/2026 22:56:10","383.9","146.07","4682.85","36100.31"
"22171","15/11/2021 00:00:00","71.6286",,"16.49","12/4/2026 22:56:10","383.81","145.88","4682.8","36087.45"
"22172","16/11/2021 00:00:00","72.4857",,"16.37","12/4/2026 22:56:10","386.54","147.77","4700.9","36142.22"
"22173","17/11/2021 00:00:00","69.2",,"17.11","12/4/2026 22:56:10","386.75","146.89","4688.67","35931.05"
"22174","18/11/2021 00:00:00","70.1429",,"17.59","12/4/2026 22:56:10","390.76","150.51","4704.54","35870.95"
"22175","19/11/2021 00:00:00","62.7714",,"17.91","12/4/2026 22:56:10","392.93","151.46","4697.96","35601.98"
"22176","22/11/2021 00:00:00","60",,"19.17","12/4/2026 22:56:10","388.37","149.17","4682.94","35619.25"
"22177","23/11/2021 00:00:00","60.3714",,"19.38","12/4/2026 22:56:10","386.6","148.09","4690.7","35813.8"
"22178","24/11/2021 00:00:00","56.9429",,"18.58","12/4/2026 22:56:10","387.85","149.59","4701.46","35804.38"
"22179","26/11/2021 00:00:00","31.2571",,"28.62","12/4/2026 22:56:10","380.49","145.25","4594.62","34899.34"
"22180","29/11/2021 00:00:00","38.1143",,"22.96","12/4/2026 22:56:10","388.75","151.08","4655.27","35135.94"
"22181","30/11/2021 00:00:00","24.7714",,"27.19","12/4/2026 22:56:10","383.04","147.92","4567","34483.72"
"22182","1/12/2021 00:00:00","25.3571",,"31.12","12/4/2026 22:56:10","376.53","147.39","4513.04","34022.04"
"22183","2/12/2021 00:00:00","22.9286",,"27.95","12/4/2026 22:56:10","379.24","147.78","4577.1","34639.79"
"22184","3/12/2021 00:00:00","20.1571",,"30.67","12/4/2026 22:56:10","372.64","146.1","4538.43","34580.08"
"22185","6/12/2021 00:00:00","21.2571",,"27.18","12/4/2026 22:56:10","375.63","145.54","4591.67","35227.03"
"22186","7/12/2021 00:00:00","37.8857",,"21.89","12/4/2026 22:56:10","386.94","152.6","4686.75","35719.43"
"22187","8/12/2021 00:00:00","41.3143",,"19.9","12/4/2026 22:56:10","388.67","151.94","4701.21","35754.75"
"22188","9/12/2021 00:00:00","36.8571",,"21.58","12/4/2026 22:56:10","382.95","148.26","4667.45","35754.69"
"22189","10/12/2021 00:00:00","42",,"18.69","12/4/2026 22:56:10","387.12","149.2","4712.02","35970.99"
"22190","13/12/2021 00:00:00","35.4",,"20.31","12/4/2026 22:56:10","381.52","145.33","4668.97","35650.95"
"22191","14/12/2021 00:00:00","31.5429",,"21.89","12/4/2026 22:56:10","377.58","144.49","4634.09","35544.18"
"22192","15/12/2021 00:00:00","37.8",,"19.29","12/4/2026 22:56:10","386.18","150.47","4709.85","35927.43"
"22193","16/12/2021 00:00:00","33.5714",,"20.57","12/4/2026 22:56:10","376.25","143.93","4668.67","35897.64"
"22194","17/12/2021 00:00:00","32.5143",,"21.57","12/4/2026 22:56:10","374.38","143.25","4620.64","35365.44"
"22195","20/12/2021 00:00:00","29.4286",,"22.87","12/4/2026 22:56:10","370.74","142.18","4568.02","34932.16"
"22196","21/12/2021 00:00:00","34.0286",,"21.01","12/4/2026 22:56:10","379.04","147.31","4649.23","35492.7"
"22197","22/12/2021 00:00:00","39.5429",,"18.63","12/4/2026 22:56:10","383.66","149.07","4696.56","35753.89"
"22198","23/12/2021 00:00:00","50.4857",,"17.96","12/4/2026 22:56:10","386.55","150.35","4725.79","35950.56"
"22199","27/12/2021 00:00:00","56.4",,"17.68","12/4/2026 22:56:10","392.94","154.4","4791.19","36302.38"
"22200","28/12/2021 00:00:00","62.9714",,"17.54","12/4/2026 22:56:10","391.12","152.87","4786.35","36398.21"
"22201","29/12/2021 00:00:00","64.0286",,"16.95","12/4/2026 22:56:10","391.06","152.85","4793.06","36488.63"
"22202","30/12/2021 00:00:00","63.9714",,"17.33","12/4/2026 22:56:10","389.89","151.11","4778.73","36398.08"
"22203","31/12/2021 00:00:00","62.5429",,"17.22","12/4/2026 22:56:10","387.46","150.61","4766.18","36338.3"
"22204","3/1/2022 00:00:00","65.2286",,"16.6","12/4/2026 22:56:10","391.19","153.93","4796.56","36585.06"
"22205","4/1/2022 00:00:00","64.2571",,"16.91","12/4/2026 22:56:10","386.11","153.13","4793.54","36799.65"
